"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Регистрация нового пользователя","","0","0","2","0","0"
"","Действия на странице каталога","","0","0","1","0","0"
"","Действия на главной странице","","0","0","4","0","0"
"","Действия на странице карточки товара","","0","0","1","0","0"
"","Действия на странице администратора","","0","0","3","0","0"
